,TOPSIS,ARAS,CODAS
AT,6,6,6
BE,18,17,16
BG,30,30,30
HR,13,13,13
CY,29,28,29
CZ,11,12,11
DK,4,4,4
EE,8,7,8
FI,5,5,5
FR,17,14,17
DE,22,15,22
EL,27,27,27
HU,16,21,18
IS,1,1,1
IE,7,8,7
IT,23,20,23
LV,9,9,10
LT,28,29,28
LU,10,10,9
MT,20,26,21
NL,14,18,14
NO,2,2,2
PL,19,23,19
PT,26,19,24
RO,25,25,26
SK,21,22,20
SI,12,11,12
ES,24,24,25
SE,3,3,3
UK,15,16,15
